valid_time,avg_tdswrf,number,expver
1972-09-01 06:00:00,275.166,0,0001
1972-10-01 06:00:00,287.45502,0,0001
1972-11-01 06:00:00,311.81207,0,0001
1972-12-01 06:00:00,326.08228,0,0001
1973-01-01 06:00:00,320.11282,0,0001
1973-02-01 06:00:00,299.3106,0,0001
1973-03-01 06:00:00,280.4597,0,0001
1973-04-01 06:00:00,284.92926,0,0001
1973-05-01 06:00:00,299.13626,0,0001
1973-06-01 06:00:00,306.26562,0,0001
1973-07-01 06:00:00,301.20267,0,0001
1973-08-01 06:00:00,286.74722,0,0001
1973-09-01 06:00:00,275.1308,0,0001
1973-10-01 06:00:00,287.2166,0,0001
1973-11-01 06:00:00,311.5767,0,0001
1973-12-01 06:00:00,325.9816,0,0001
1974-01-01 06:00:00,320.22086,0,0001
1974-02-01 06:00:00,299.4923,0,0001
1974-03-01 06:00:00,280.52045,0,0001
1974-04-01 06:00:00,284.80814,0,0001
1974-05-01 06:00:00,299.0249,0,0001
1974-06-01 06:00:00,306.2406,0,0001
1974-07-01 06:00:00,301.271,0,0001
1974-08-01 06:00:00,286.85602,0,0001
1974-09-01 06:00:00,275.13422,0,0001
1974-10-01 06:00:00,287.01697,0,0001
1974-11-01 06:00:00,311.38205,0,0001
1974-12-01 06:00:00,325.9229,0,0001
1975-01-01 06:00:00,320.3,0,0001
1975-02-01 06:00:00,299.6475,0,0001
1975-03-01 06:00:00,280.55832,0,0001
1975-04-01 06:00:00,284.66238,0,0001
1975-05-01 06:00:00,298.88715,0,0001
1975-06-01 06:00:00,306.1877,0,0001
1975-07-01 06:00:00,301.31223,0,0001
1975-08-01 06:00:00,286.93976,0,0001
1975-09-01 06:00:00,275.11496,0,0001
1975-10-01 06:00:00,286.79272,0,0001
1975-11-01 06:00:00,311.1595,0,0001
1975-12-01 06:00:00,325.83414,0,0001
1976-01-01 06:00:00,320.44858,0,0001
1976-02-01 06:00:00,299.46622,0,0001
1976-03-01 06:00:00,280.354,0,0001
1976-04-01 06:00:00,285.02698,0,0001
1976-05-01 06:00:00,299.21765,0,0001
1976-06-01 06:00:00,306.2436,0,0001
1976-07-01 06:00:00,301.07007,0,0001
1976-08-01 06:00:00,286.56784,0,0001
1976-09-01 06:00:00,275.07312,0,0001
1976-10-01 06:00:00,287.38373,0,0001
1976-11-01 06:00:00,311.7336,0,0001
1976-12-01 06:00:00,325.9868,0,0001
1977-01-01 06:00:00,320.107,0,0001
1977-02-01 06:00:00,299.3004,0,0001
1977-03-01 06:00:00,280.46613,0,0001
1977-04-01 06:00:00,284.95972,0,0001
1977-05-01 06:00:00,299.16403,0,0001
1977-06-01 06:00:00,306.2777,0,0001
1977-07-01 06:00:00,301.1964,0,0001
1977-08-01 06:00:00,286.73117,0,0001
1977-09-01 06:00:00,275.12662,0,0001
1977-10-01 06:00:00,287.2381,0,0001
1977-11-01 06:00:00,311.599,0,0001
1977-12-01 06:00:00,325.99152,0,0001
1978-01-01 06:00:00,320.33533,0,0001
1978-02-01 06:00:00,299.59464,0,0001
1978-03-01 06:00:00,280.63214,0,0001
1978-04-01 06:00:00,284.94553,0,0001
