valid_time,vit,number,expver
1969-04-01,2441641.8,0,0001
1969-05-01,2448753.5,0,0001
1969-06-01,2454711.5,0,0001
1969-07-01,2451601.5,0,0001
1969-08-01,2449433.0,0,0001
1969-09-01,2440315.0,0,0001
1969-10-01,2432515.2,0,0001
1969-11-01,2430375.8,0,0001
1969-12-01,2437371.8,0,0001
1970-01-01,2441366.0,0,0001
1970-02-01,2439625.2,0,0001
1970-03-01,2437430.2,0,0001
1970-04-01,2438300.5,0,0001
1970-05-01,2444602.2,0,0001
1970-06-01,2449369.2,0,0001
1970-07-01,2453626.8,0,0001
1970-08-01,2445456.5,0,0001
1970-09-01,2440788.2,0,0001
1970-10-01,2434275.5,0,0001
1970-11-01,2430728.5,0,0001
1970-12-01,2434251.5,0,0001
1971-01-01,2437647.8,0,0001
1971-02-01,2437258.8,0,0001
1971-03-01,2435856.5,0,0001
1971-04-01,2440121.0,0,0001
1971-05-01,2442802.8,0,0001
1971-06-01,2449764.5,0,0001
1971-07-01,2451615.0,0,0001
1971-08-01,2445466.8,0,0001
1971-09-01,2437160.0,0,0001
1971-10-01,2429166.8,0,0001
1971-11-01,2427400.0,0,0001
1971-12-01,2432904.0,0,0001
1972-01-01,2433698.2,0,0001
1972-02-01,2432530.2,0,0001
1972-03-01,2433500.8,0,0001
1972-04-01,2437322.5,0,0001
1972-05-01,2443601.8,0,0001
1972-06-01,2451928.5,0,0001
1972-07-01,2454763.8,0,0001
1972-08-01,2450915.2,0,0001
1972-09-01,2443473.8,0,0001
1972-10-01,2433594.0,0,0001
1972-11-01,2432501.0,0,0001
1972-12-01,2433817.2,0,0001
1973-01-01,2437238.0,0,0001
1973-02-01,2437795.5,0,0001
1973-03-01,2435512.0,0,0001
1973-04-01,2442903.0,0,0001
1973-05-01,2445079.8,0,0001
1973-06-01,2451084.0,0,0001
1973-07-01,2452599.0,0,0001
1973-08-01,2445879.2,0,0001
1973-09-01,2437944.2,0,0001
1973-10-01,2431124.0,0,0001
1973-11-01,2432998.2,0,0001
1973-12-01,2430497.2,0,0001
1974-01-01,2436416.8,0,0001
1974-02-01,2431100.0,0,0001
1974-03-01,2432892.2,0,0001
1974-04-01,2436157.5,0,0001
1974-05-01,2439963.0,0,0001
1974-06-01,2448538.0,0,0001
1974-07-01,2448894.5,0,0001
1974-08-01,2449103.8,0,0001
1974-09-01,2435935.0,0,0001
1974-10-01,2432759.5,0,0001
1974-11-01,2433095.2,0,0001
1974-12-01,2433707.2,0,0001
1975-01-01,2434170.8,0,0001
1975-02-01,2434380.8,0,0001
1975-03-01,2435849.0,0,0001
1975-04-01,2439609.5,0,0001
1975-05-01,2445151.5,0,0001
1975-06-01,2450367.2,0,0001
1975-07-01,2450141.8,0,0001
1975-08-01,2446507.0,0,0001
1975-09-01,2435606.5,0,0001
1975-10-01,2428133.2,0,0001
1975-11-01,2427547.2,0,0001
1975-12-01,2429851.2,0,0001
1976-01-01,2434645.8,0,0001
1976-02-01,2429369.2,0,0001
1976-03-01,2430384.0,0,0001
1976-04-01,2434291.5,0,0001
1976-05-01,2439891.2,0,0001
1976-06-01,2447515.0,0,0001
1976-07-01,2449754.8,0,0001
1976-08-01,2442541.5,0,0001
1976-09-01,2436016.5,0,0001
1976-10-01,2426889.5,0,0001
1976-11-01,2432447.2,0,0001
1976-12-01,2440471.0,0,0001
1977-01-01,2448769.8,0,0001
1977-02-01,2435831.5,0,0001
1977-03-01,2434878.5,0,0001
1977-04-01,2438668.8,0,0001
1977-05-01,2447364.5,0,0001
1977-06-01,2454592.2,0,0001
1977-07-01,2456485.0,0,0001
1977-08-01,2453031.2,0,0001
1977-09-01,2434938.0,0,0001
1977-10-01,2431655.2,0,0001
1977-11-01,2433120.0,0,0001
1977-12-01,2434687.5,0,0001
1978-01-01,2434186.2,0,0001
1978-02-01,2437269.8,0,0001
1978-03-01,2436509.0,0,0001
1978-04-01,2442322.8,0,0001
1978-05-01,2446877.8,0,0001
1978-06-01,2450243.5,0,0001
1978-07-01,2455852.5,0,0001
1978-08-01,2445629.0,0,0001
1978-09-01,2439301.0,0,0001
1978-10-01,2432190.8,0,0001
1978-11-01,2429641.8,0,0001
1978-12-01,2435862.0,0,0001
1979-01-01,2439230.0,0,0001
1979-02-01,2435867.8,0,0001
1979-03-01,2439162.5,0,0001
1979-04-01,2440806.2,0,0001
1979-05-01,2445057.8,0,0001
1979-06-01,2449376.5,0,0001
1979-07-01,2451670.5,0,0001
1979-08-01,2449716.0,0,0001
1979-09-01,2442207.5,0,0001
1979-10-01,2436250.0,0,0001
