valid_time,avg_snswrf,number,expver
1960-04-01 06:00:00,126.82081,0,0001
1960-05-01 06:00:00,126.474,0,0001
1960-06-01 06:00:00,129.5236,0,0001
1960-07-01 06:00:00,129.61235,0,0001
1960-08-01 06:00:00,126.933014,0,0001
1960-09-01 06:00:00,125.88083,0,0001
1960-10-01 06:00:00,127.22547,0,0001
1960-11-01 06:00:00,131.90341,0,0001
1960-12-01 06:00:00,137.2865,0,0001
1961-01-01 06:00:00,136.8614,0,0001
1961-02-01 06:00:00,133.68214,0,0001
1961-03-01 06:00:00,128.59381,0,0001
1961-04-01 06:00:00,125.70296,0,0001
1961-05-01 06:00:00,125.86354,0,0001
1961-06-01 06:00:00,129.46077,0,0001
1961-07-01 06:00:00,129.32045,0,0001
1961-08-01 06:00:00,126.88591,0,0001
1961-09-01 06:00:00,125.7665,0,0001
1961-10-01 06:00:00,127.01802,0,0001
1961-11-01 06:00:00,131.39076,0,0001
1961-12-01 06:00:00,136.8143,0,0001
1962-01-01 06:00:00,137.14314,0,0001
1962-02-01 06:00:00,133.43373,0,0001
1962-03-01 06:00:00,128.41156,0,0001
1962-04-01 06:00:00,126.59492,0,0001
1962-05-01 06:00:00,125.704926,0,0001
1962-06-01 06:00:00,129.10695,0,0001
1962-07-01 06:00:00,130.2422,0,0001
1962-08-01 06:00:00,128.53902,0,0001
1962-09-01 06:00:00,126.19661,0,0001
1962-10-01 06:00:00,127.11902,0,0001
1962-11-01 06:00:00,131.20914,0,0001
1962-12-01 06:00:00,136.82837,0,0001
1963-01-01 06:00:00,136.61185,0,0001
1963-02-01 06:00:00,133.32666,0,0001
1963-03-01 06:00:00,128.2618,0,0001
1963-04-01 06:00:00,125.79942,0,0001
1963-05-01 06:00:00,125.34561,0,0001
1963-06-01 06:00:00,128.50453,0,0001
1963-07-01 06:00:00,128.52315,0,0001
1963-08-01 06:00:00,126.70111,0,0001
1963-09-01 06:00:00,124.54592,0,0001
1963-10-01 06:00:00,126.14893,0,0001
1963-11-01 06:00:00,130.1513,0,0001
1963-12-01 06:00:00,134.58217,0,0001
1964-01-01 06:00:00,135.14546,0,0001
1964-02-01 06:00:00,131.05263,0,0001
1964-03-01 06:00:00,126.483055,0,0001
1964-04-01 06:00:00,124.869095,0,0001
1964-05-01 06:00:00,124.905815,0,0001
1964-06-01 06:00:00,128.28992,0,0001
1964-07-01 06:00:00,128.66106,0,0001
1964-08-01 06:00:00,125.32907,0,0001
1964-09-01 06:00:00,124.301216,0,0001
