valid_time,avg_tnlwrf,number,expver
1955-12-01 06:00:00,-225.18571,0,0001
1956-01-01 06:00:00,-226.28732,0,0001
1956-02-01 06:00:00,-224.2682,0,0001
1956-03-01 06:00:00,-224.19295,0,0001
1956-04-01 06:00:00,-225.29198,0,0001
1956-05-01 06:00:00,-227.38991,0,0001
1956-06-01 06:00:00,-230.6013,0,0001
1956-07-01 06:00:00,-231.29915,0,0001
1956-08-01 06:00:00,-230.07646,0,0001
1956-09-01 06:00:00,-228.21355,0,0001
1956-10-01 06:00:00,-224.99515,0,0001
1956-11-01 06:00:00,-225.50963,0,0001
1956-12-01 06:00:00,-226.40672,0,0001
1957-01-01 06:00:00,-224.99176,0,0001
1957-02-01 06:00:00,-225.81366,0,0001
1957-03-01 06:00:00,-223.54323,0,0001
1957-04-01 06:00:00,-225.22588,0,0001
1957-05-01 06:00:00,-227.70573,0,0001
1957-06-01 06:00:00,-231.21136,0,0001
1957-07-01 06:00:00,-231.97057,0,0001
1957-08-01 06:00:00,-230.64366,0,0001
1957-09-01 06:00:00,-228.2094,0,0001
1957-10-01 06:00:00,-226.35802,0,0001
1957-11-01 06:00:00,-225.70772,0,0001
1957-12-01 06:00:00,-225.25348,0,0001
1958-01-01 06:00:00,-226.06963,0,0001
1958-02-01 06:00:00,-225.9823,0,0001
1958-03-01 06:00:00,-224.55356,0,0001
1958-04-01 06:00:00,-225.01122,0,0001
1958-05-01 06:00:00,-227.68738,0,0001
1958-06-01 06:00:00,-230.29446,0,0001
1958-07-01 06:00:00,-231.50264,0,0001
1958-08-01 06:00:00,-229.94536,0,0001
1958-09-01 06:00:00,-227.60289,0,0001
1958-10-01 06:00:00,-226.02014,0,0001
1958-11-01 06:00:00,-225.5671,0,0001
1958-12-01 06:00:00,-225.54538,0,0001
1959-01-01 06:00:00,-225.6121,0,0001
1959-02-01 06:00:00,-224.91187,0,0001
1959-03-01 06:00:00,-225.11963,0,0001
1959-04-01 06:00:00,-226.23235,0,0001
1959-05-01 06:00:00,-227.9836,0,0001
1959-06-01 06:00:00,-231.17078,0,0001
1959-07-01 06:00:00,-231.66965,0,0001
1959-08-01 06:00:00,-230.85753,0,0001
1959-09-01 06:00:00,-227.7227,0,0001
1959-10-01 06:00:00,-225.86324,0,0001
1959-11-01 06:00:00,-224.64609,0,0001
1959-12-01 06:00:00,-225.45502,0,0001
1960-01-01 06:00:00,-226.42528,0,0001
1960-02-01 06:00:00,-225.17996,0,0001
1960-03-01 06:00:00,-222.68427,0,0001
1960-04-01 06:00:00,-224.9911,0,0001
1960-05-01 06:00:00,-227.90527,0,0001
1960-06-01 06:00:00,-231.03825,0,0001
1960-07-01 06:00:00,-231.18562,0,0001
1960-08-01 06:00:00,-230.6238,0,0001
1960-09-01 06:00:00,-227.65355,0,0001
1960-10-01 06:00:00,-226.05524,0,0001
1960-11-01 06:00:00,-225.44029,0,0001
1960-12-01 06:00:00,-226.32506,0,0001
1961-01-01 06:00:00,-225.72194,0,0001
1961-02-01 06:00:00,-224.36255,0,0001
1961-03-01 06:00:00,-223.69826,0,0001
1961-04-01 06:00:00,-224.83888,0,0001
1961-05-01 06:00:00,-227.87161,0,0001
1961-06-01 06:00:00,-231.66473,0,0001
1961-07-01 06:00:00,-231.74068,0,0001
1961-08-01 06:00:00,-230.65305,0,0001
1961-09-01 06:00:00,-228.89294,0,0001
1961-10-01 06:00:00,-225.8364,0,0001
1961-11-01 06:00:00,-224.72089,0,0001
1961-12-01 06:00:00,-224.44014,0,0001
1962-01-01 06:00:00,-224.88478,0,0001
1962-02-01 06:00:00,-224.93063,0,0001
1962-03-01 06:00:00,-224.0278,0,0001
1962-04-01 06:00:00,-224.4151,0,0001
1962-05-01 06:00:00,-226.55191,0,0001
1962-06-01 06:00:00,-230.07658,0,0001
1962-07-01 06:00:00,-231.21542,0,0001
1962-08-01 06:00:00,-230.59656,0,0001
1962-09-01 06:00:00,-227.9915,0,0001
1962-10-01 06:00:00,-225.97499,0,0001
1962-11-01 06:00:00,-225.20293,0,0001
1962-12-01 06:00:00,-225.23677,0,0001
1963-01-01 06:00:00,-225.13188,0,0001
1963-02-01 06:00:00,-225.10765,0,0001
