valid_time,avg_tnswrf,number,expver
1959-07-01 06:00:00,203.14732,0,0001
1959-08-01 06:00:00,196.5712,0,0001
1959-09-01 06:00:00,190.83353,0,0001
1959-10-01 06:00:00,191.44615,0,0001
1959-11-01 06:00:00,198.9181,0,0001
1959-12-01 06:00:00,206.96782,0,0001
1960-01-01 06:00:00,206.55519,0,0001
1960-02-01 06:00:00,199.77812,0,0001
1960-03-01 06:00:00,191.694,0,0001
1960-04-01 06:00:00,192.7181,0,0001
1960-05-01 06:00:00,197.43745,0,0001
1960-06-01 06:00:00,203.7544,0,0001
1960-07-01 06:00:00,203.14508,0,0001
1960-08-01 06:00:00,195.98018,0,0001
1960-09-01 06:00:00,189.93143,0,0001
1960-10-01 06:00:00,191.61714,0,0001
1960-11-01 06:00:00,199.43839,0,0001
1960-12-01 06:00:00,207.63907,0,0001
1961-01-01 06:00:00,206.61287,0,0001
1961-02-01 06:00:00,200.17097,0,0001
1961-03-01 06:00:00,192.14491,0,0001
1961-04-01 06:00:00,191.71088,0,0001
1961-05-01 06:00:00,196.78368,0,0001
1961-06-01 06:00:00,203.56105,0,0001
1961-07-01 06:00:00,202.75551,0,0001
1961-08-01 06:00:00,195.76309,0,0001
1961-09-01 06:00:00,189.84851,0,0001
1961-10-01 06:00:00,191.2633,0,0001
1961-11-01 06:00:00,199.0228,0,0001
1961-12-01 06:00:00,206.74069,0,0001
1962-01-01 06:00:00,206.4401,0,0001
1962-02-01 06:00:00,199.66925,0,0001
1962-03-01 06:00:00,191.99284,0,0001
1962-04-01 06:00:00,192.3624,0,0001
1962-05-01 06:00:00,196.37009,0,0001
1962-06-01 06:00:00,203.03119,0,0001
1962-07-01 06:00:00,203.35342,0,0001
1962-08-01 06:00:00,197.25458,0,0001
1962-09-01 06:00:00,190.01602,0,0001
1962-10-01 06:00:00,191.25758,0,0001
1962-11-01 06:00:00,198.76312,0,0001
1962-12-01 06:00:00,206.99767,0,0001
1963-01-01 06:00:00,206.42166,0,0001
1963-02-01 06:00:00,199.844,0,0001
1963-03-01 06:00:00,191.69855,0,0001
1963-04-01 06:00:00,191.66821,0,0001
1963-05-01 06:00:00,196.22313,0,0001
1963-06-01 06:00:00,202.29855,0,0001
1963-07-01 06:00:00,201.79912,0,0001
1963-08-01 06:00:00,195.50235,0,0001
1963-09-01 06:00:00,188.42584,0,0001
1963-10-01 06:00:00,189.89403,0,0001
1963-11-01 06:00:00,197.20604,0,0001
1963-12-01 06:00:00,204.51587,0,0001
1964-01-01 06:00:00,204.48294,0,0001
1964-02-01 06:00:00,197.03804,0,0001
1964-03-01 06:00:00,189.59245,0,0001
1964-04-01 06:00:00,190.38315,0,0001
1964-05-01 06:00:00,195.24266,0,0001
1964-06-01 06:00:00,201.88254,0,0001
1964-07-01 06:00:00,201.57791,0,0001
1964-08-01 06:00:00,193.93307,0,0001
1964-09-01 06:00:00,187.91196,0,0001
1964-10-01 06:00:00,189.6925,0,0001
1964-11-01 06:00:00,197.71162,0,0001
1964-12-01 06:00:00,205.8212,0,0001
1965-01-01 06:00:00,205.63623,0,0001
1965-02-01 06:00:00,198.30095,0,0001
1965-03-01 06:00:00,190.48769,0,0001
1965-04-01 06:00:00,191.16017,0,0001
1965-05-01 06:00:00,195.88885,0,0001
1965-06-01 06:00:00,201.59258,0,0001
1965-07-01 06:00:00,201.88684,0,0001
1965-08-01 06:00:00,195.45287,0,0001
1965-09-01 06:00:00,188.67299,0,0001
1965-10-01 06:00:00,190.5271,0,0001
1965-11-01 06:00:00,198.25082,0,0001
1965-12-01 06:00:00,206.47876,0,0001
1966-01-01 06:00:00,206.33516,0,0001
1966-02-01 06:00:00,197.79352,0,0001
1966-03-01 06:00:00,191.54918,0,0001
1966-04-01 06:00:00,191.18675,0,0001
1966-05-01 06:00:00,196.7504,0,0001
1966-06-01 06:00:00,202.70425,0,0001
1966-07-01 06:00:00,201.62885,0,0001
1966-08-01 06:00:00,195.78825,0,0001
1966-09-01 06:00:00,189.98976,0,0001
1966-10-01 06:00:00,190.51039,0,0001
1966-11-01 06:00:00,198.44989,0,0001
1966-12-01 06:00:00,207.246,0,0001
1967-01-01 06:00:00,206.75227,0,0001
1967-02-01 06:00:00,198.80403,0,0001
1967-03-01 06:00:00,191.46797,0,0001
1967-04-01 06:00:00,191.52486,0,0001
1967-05-01 06:00:00,196.77267,0,0001
1967-06-01 06:00:00,202.14679,0,0001
1967-07-01 06:00:00,202.14455,0,0001
1967-08-01 06:00:00,195.75288,0,0001
1967-09-01 06:00:00,189.83904,0,0001
1967-10-01 06:00:00,190.70605,0,0001
1967-11-01 06:00:00,199.15938,0,0001
1967-12-01 06:00:00,206.33202,0,0001
1968-01-01 06:00:00,205.5647,0,0001
1968-02-01 06:00:00,198.12433,0,0001
1968-03-01 06:00:00,191.26588,0,0001
1968-04-01 06:00:00,192.02646,0,0001
1968-05-01 06:00:00,196.50987,0,0001
1968-06-01 06:00:00,202.72179,0,0001
1968-07-01 06:00:00,201.4142,0,0001
1968-08-01 06:00:00,195.85689,0,0001
1968-09-01 06:00:00,189.51529,0,0001
1968-10-01 06:00:00,190.84895,0,0001
1968-11-01 06:00:00,198.4049,0,0001
1968-12-01 06:00:00,207.14975,0,0001
1969-01-01 06:00:00,206.273,0,0001
1969-02-01 06:00:00,197.81682,0,0001
1969-03-01 06:00:00,190.22932,0,0001
1969-04-01 06:00:00,190.93512,0,0001
1969-05-01 06:00:00,195.42458,0,0001
1969-06-01 06:00:00,200.85968,0,0001
1969-07-01 06:00:00,202.09758,0,0001
1969-08-01 06:00:00,195.266,0,0001
1969-09-01 06:00:00,188.65797,0,0001
1969-10-01 06:00:00,191.277,0,0001
1969-11-01 06:00:00,199.17966,0,0001
1969-12-01 06:00:00,206.95236,0,0001
1970-01-01 06:00:00,206.9881,0,0001
1970-02-01 06:00:00,198.94702,0,0001
1970-03-01 06:00:00,191.51779,0,0001
1970-04-01 06:00:00,191.97243,0,0001
1970-05-01 06:00:00,195.9952,0,0001
1970-06-01 06:00:00,202.0962,0,0001
1970-07-01 06:00:00,202.10448,0,0001
1970-08-01 06:00:00,194.93892,0,0001
1970-09-01 06:00:00,189.4645,0,0001
1970-10-01 06:00:00,191.07774,0,0001
1970-11-01 06:00:00,199.5976,0,0001
1970-12-01 06:00:00,207.18071,0,0001
1971-01-01 06:00:00,207.06184,0,0001
1971-02-01 06:00:00,198.96477,0,0001
1971-03-01 06:00:00,191.29044,0,0001
1971-04-01 06:00:00,191.97981,0,0001
1971-05-01 06:00:00,196.49988,0,0001
1971-06-01 06:00:00,202.51175,0,0001
1971-07-01 06:00:00,201.94829,0,0001
1971-08-01 06:00:00,195.8426,0,0001
1971-09-01 06:00:00,189.53783,0,0001
1971-10-01 06:00:00,191.71109,0,0001
1971-11-01 06:00:00,198.81757,0,0001
1971-12-01 06:00:00,206.79448,0,0001
1972-01-01 06:00:00,207.86922,0,0001
1972-02-01 06:00:00,198.98291,0,0001
1972-03-01 06:00:00,191.86201,0,0001
1972-04-01 06:00:00,191.63791,0,0001
1972-05-01 06:00:00,196.36095,0,0001
1972-06-01 06:00:00,202.3355,0,0001
1972-07-01 06:00:00,201.5881,0,0001
1972-08-01 06:00:00,195.74603,0,0001
1972-09-01 06:00:00,189.01488,0,0001
1972-10-01 06:00:00,190.68266,0,0001
1972-11-01 06:00:00,198.84024,0,0001
1972-12-01 06:00:00,207.56378,0,0001
1973-01-01 06:00:00,206.3451,0,0001
1973-02-01 06:00:00,198.37976,0,0001
1973-03-01 06:00:00,189.73871,0,0001
1973-04-01 06:00:00,191.09306,0,0001
1973-05-01 06:00:00,196.88362,0,0001
1973-06-01 06:00:00,202.46463,0,0001
1973-07-01 06:00:00,202.14511,0,0001
1973-08-01 06:00:00,195.13924,0,0001
1973-09-01 06:00:00,188.97574,0,0001
1973-10-01 06:00:00,190.4888,0,0001
1973-11-01 06:00:00,198.29237,0,0001
1973-12-01 06:00:00,206.18062,0,0001
1974-01-01 06:00:00,207.06323,0,0001
1974-02-01 06:00:00,198.89876,0,0001
1974-03-01 06:00:00,190.75793,0,0001
1974-04-01 06:00:00,191.53867,0,0001
1974-05-01 06:00:00,196.04921,0,0001
1974-06-01 06:00:00,202.71773,0,0001
1974-07-01 06:00:00,201.96994,0,0001
1974-08-01 06:00:00,195.70535,0,0001
1974-09-01 06:00:00,189.03714,0,0001
1974-10-01 06:00:00,191.03825,0,0001
1974-11-01 06:00:00,199.0828,0,0001
1974-12-01 06:00:00,206.7304,0,0001
1975-01-01 06:00:00,206.91486,0,0001
1975-02-01 06:00:00,198.96744,0,0001
1975-03-01 06:00:00,190.49954,0,0001
1975-04-01 06:00:00,189.97256,0,0001
1975-05-01 06:00:00,195.97437,0,0001
1975-06-01 06:00:00,201.78383,0,0001
1975-07-01 06:00:00,202.46585,0,0001
1975-08-01 06:00:00,195.06148,0,0001
1975-09-01 06:00:00,188.69022,0,0001
1975-10-01 06:00:00,190.17212,0,0001
1975-11-01 06:00:00,199.0926,0,0001
1975-12-01 06:00:00,207.32968,0,0001
1976-01-01 06:00:00,207.66464,0,0001
1976-02-01 06:00:00,199.39508,0,0001
1976-03-01 06:00:00,190.50671,0,0001
1976-04-01 06:00:00,191.46985,0,0001
1976-05-01 06:00:00,196.09308,0,0001
