valid_time,avg_sdlwrf,number,expver
1963-09-01 06:00:00,305.5261,0,0001
1963-10-01 06:00:00,296.6946,0,0001
1963-11-01 06:00:00,290.78323,0,0001
1963-12-01 06:00:00,288.4585,0,0001
1964-01-01 06:00:00,286.35406,0,0001
1964-02-01 06:00:00,286.60275,0,0001
1964-03-01 06:00:00,286.45337,0,0001
1964-04-01 06:00:00,290.4012,0,0001
1964-05-01 06:00:00,298.90494,0,0001
1964-06-01 06:00:00,307.82123,0,0001
1964-07-01 06:00:00,313.0238,0,0001
1964-08-01 06:00:00,310.5793,0,0001
1964-09-01 06:00:00,303.0235,0,0001
1964-10-01 06:00:00,294.91367,0,0001
1964-11-01 06:00:00,288.17715,0,0001
1964-12-01 06:00:00,287.04147,0,0001
1965-01-01 06:00:00,286.4507,0,0001
1965-02-01 06:00:00,285.69485,0,0001
1965-03-01 06:00:00,287.2828,0,0001
1965-04-01 06:00:00,291.52618,0,0001
1965-05-01 06:00:00,299.6909,0,0001
1965-06-01 06:00:00,307.38412,0,0001
1965-07-01 06:00:00,311.20944,0,0001
1965-08-01 06:00:00,310.86734,0,0001
1965-09-01 06:00:00,304.4665,0,0001
1965-10-01 06:00:00,296.15414,0,0001
1965-11-01 06:00:00,291.57535,0,0001
1965-12-01 06:00:00,287.66516,0,0001
1966-01-01 06:00:00,285.55396,0,0001
1966-02-01 06:00:00,286.33804,0,0001
1966-03-01 06:00:00,287.6996,0,0001
1966-04-01 06:00:00,291.86966,0,0001
1966-05-01 06:00:00,299.37848,0,0001
1966-06-01 06:00:00,307.92023,0,0001
1966-07-01 06:00:00,313.39673,0,0001
1966-08-01 06:00:00,311.1695,0,0001
1966-09-01 06:00:00,305.15604,0,0001
1966-10-01 06:00:00,295.02972,0,0001
1966-11-01 06:00:00,290.974,0,0001
1966-12-01 06:00:00,289.49887,0,0001
1967-01-01 06:00:00,286.1406,0,0001
1967-02-01 06:00:00,285.1504,0,0001
1967-03-01 06:00:00,288.67365,0,0001
1967-04-01 06:00:00,292.72174,0,0001
1967-05-01 06:00:00,302.15732,0,0001
1967-06-01 06:00:00,308.69064,0,0001
1967-07-01 06:00:00,312.66055,0,0001
1967-08-01 06:00:00,311.7683,0,0001
1967-09-01 06:00:00,305.3212,0,0001
1967-10-01 06:00:00,298.43527,0,0001
1967-11-01 06:00:00,290.0264,0,0001
1967-12-01 06:00:00,288.9548,0,0001
1968-01-01 06:00:00,286.6672,0,0001
1968-02-01 06:00:00,287.13562,0,0001
1968-03-01 06:00:00,289.40155,0,0001
1968-04-01 06:00:00,293.04688,0,0001
1968-05-01 06:00:00,301.2057,0,0001
1968-06-01 06:00:00,307.7261,0,0001
1968-07-01 06:00:00,312.50497,0,0001
1968-08-01 06:00:00,310.4121,0,0001
1968-09-01 06:00:00,303.01175,0,0001
1968-10-01 06:00:00,297.11774,0,0001
1968-11-01 06:00:00,288.96405,0,0001
1968-12-01 06:00:00,286.92767,0,0001
1969-01-01 06:00:00,287.57446,0,0001
1969-02-01 06:00:00,287.36603,0,0001
1969-03-01 06:00:00,287.14926,0,0001
1969-04-01 06:00:00,293.6042,0,0001
1969-05-01 06:00:00,302.73007,0,0001
1969-06-01 06:00:00,309.83868,0,0001
1969-07-01 06:00:00,312.55347,0,0001
1969-08-01 06:00:00,310.9703,0,0001
1969-09-01 06:00:00,305.87585,0,0001
1969-10-01 06:00:00,297.59647,0,0001
1969-11-01 06:00:00,290.86304,0,0001
1969-12-01 06:00:00,290.3351,0,0001
1970-01-01 06:00:00,287.36655,0,0001
1970-02-01 06:00:00,286.3465,0,0001
1970-03-01 06:00:00,288.87946,0,0001
1970-04-01 06:00:00,292.34134,0,0001
1970-05-01 06:00:00,301.80557,0,0001
1970-06-01 06:00:00,309.08722,0,0001
1970-07-01 06:00:00,312.53787,0,0001
1970-08-01 06:00:00,310.8894,0,0001
1970-09-01 06:00:00,305.29105,0,0001
1970-10-01 06:00:00,297.03262,0,0001
1970-11-01 06:00:00,289.51205,0,0001
1970-12-01 06:00:00,287.89957,0,0001
1971-01-01 06:00:00,286.26553,0,0001
1971-02-01 06:00:00,287.56482,0,0001
1971-03-01 06:00:00,287.52454,0,0001
1971-04-01 06:00:00,294.09338,0,0001
1971-05-01 06:00:00,300.99652,0,0001
1971-06-01 06:00:00,308.13202,0,0001
1971-07-01 06:00:00,312.29852,0,0001
1971-08-01 06:00:00,310.991,0,0001
1971-09-01 06:00:00,304.95328,0,0001
1971-10-01 06:00:00,294.71432,0,0001
1971-11-01 06:00:00,289.1671,0,0001
1971-12-01 06:00:00,288.07028,0,0001
1972-01-01 06:00:00,286.88535,0,0001
1972-02-01 06:00:00,285.90054,0,0001
1972-03-01 06:00:00,288.32776,0,0001
1972-04-01 06:00:00,292.31204,0,0001
1972-05-01 06:00:00,301.04013,0,0001
1972-06-01 06:00:00,309.5626,0,0001
1972-07-01 06:00:00,314.13913,0,0001
1972-08-01 06:00:00,312.8944,0,0001
1972-09-01 06:00:00,306.40488,0,0001
1972-10-01 06:00:00,299.30988,0,0001
1972-11-01 06:00:00,290.85864,0,0001
1972-12-01 06:00:00,289.64743,0,0001
1973-01-01 06:00:00,289.65198,0,0001
1973-02-01 06:00:00,288.362,0,0001
1973-03-01 06:00:00,289.96918,0,0001
1973-04-01 06:00:00,295.55667,0,0001
1973-05-01 06:00:00,302.81213,0,0001
1973-06-01 06:00:00,310.3285,0,0001
1973-07-01 06:00:00,313.9211,0,0001
1973-08-01 06:00:00,312.27405,0,0001
1973-09-01 06:00:00,305.6982,0,0001
1973-10-01 06:00:00,296.60587,0,0001
1973-11-01 06:00:00,290.7389,0,0001
1973-12-01 06:00:00,288.12915,0,0001
1974-01-01 06:00:00,289.31537,0,0001
1974-02-01 06:00:00,286.22168,0,0001
1974-03-01 06:00:00,288.64764,0,0001
1974-04-01 06:00:00,292.51245,0,0001
1974-05-01 06:00:00,300.17154,0,0001
1974-06-01 06:00:00,307.29813,0,0001
1974-07-01 06:00:00,312.00784,0,0001
1974-08-01 06:00:00,311.2096,0,0001
1974-09-01 06:00:00,304.3497,0,0001
1974-10-01 06:00:00,295.49054,0,0001
1974-11-01 06:00:00,288.28458,0,0001
1974-12-01 06:00:00,287.59012,0,0001
1975-01-01 06:00:00,286.36267,0,0001
1975-02-01 06:00:00,287.38525,0,0001
1975-03-01 06:00:00,289.06384,0,0001
1975-04-01 06:00:00,293.28134,0,0001
1975-05-01 06:00:00,300.4985,0,0001
1975-06-01 06:00:00,307.91058,0,0001
