valid_time,sst,number,expver
1966-07-01,286.71964,0,0001
1966-08-01,286.8134,0,0001
1966-09-01,286.68732,0,0001
1966-10-01,286.48123,0,0001
1966-11-01,286.39426,0,0001
1966-12-01,286.46255,0,0001
1967-01-01,286.59946,0,0001
1967-02-01,286.72687,0,0001
1967-03-01,286.71808,0,0001
1967-04-01,286.65857,0,0001
1967-05-01,286.58185,0,0001
1967-06-01,286.57306,0,0001
1967-07-01,286.7135,0,0001
1967-08-01,286.86826,0,0001
1967-09-01,286.73038,0,0001
1967-10-01,286.46252,0,0001
1967-11-01,286.33337,0,0001
1967-12-01,286.38367,0,0001
1968-01-01,286.53574,0,0001
1968-02-01,286.6571,0,0001
1968-03-01,286.562,0,0001
1968-04-01,286.573,0,0001
1968-05-01,286.5111,0,0001
1968-06-01,286.55692,0,0001
1968-07-01,286.7434,0,0001
1968-08-01,286.87845,0,0001
1968-09-01,286.7409,0,0001
1968-10-01,286.52817,0,0001
1968-11-01,286.4044,0,0001
1968-12-01,286.51294,0,0001
1969-01-01,286.78018,0,0001
1969-02-01,286.88498,0,0001
1969-03-01,286.82843,0,0001
1969-04-01,286.76236,0,0001
1969-05-01,286.66003,0,0001
1969-06-01,286.6329,0,0001
1969-07-01,286.7624,0,0001
1969-08-01,286.85507,0,0001
1969-09-01,286.76462,0,0001
1969-10-01,286.50366,0,0001
1969-11-01,286.4275,0,0001
1969-12-01,286.5023,0,0001
1970-01-01,286.6949,0,0001
1970-02-01,286.75412,0,0001
1970-03-01,286.74146,0,0001
1970-04-01,286.6993,0,0001
1970-05-01,286.56348,0,0001
1970-06-01,286.515,0,0001
1970-07-01,286.68964,0,0001
1970-08-01,286.82614,0,0001
1970-09-01,286.6728,0,0001
1970-10-01,286.4859,0,0001
1970-11-01,286.34204,0,0001
1970-12-01,286.41916,0,0001
1971-01-01,286.56696,0,0001
1971-02-01,286.6162,0,0001
1971-03-01,286.58817,0,0001
1971-04-01,286.5119,0,0001
1971-05-01,286.364,0,0001
1971-06-01,286.38922,0,0001
1971-07-01,286.59805,0,0001
1971-08-01,286.71698,0,0001
1971-09-01,286.5854,0,0001
1971-10-01,286.34778,0,0001
1971-11-01,286.27148,0,0001
1971-12-01,286.32172,0,0001
1972-01-01,286.62274,0,0001
1972-02-01,286.7372,0,0001
1972-03-01,286.69077,0,0001
1972-04-01,286.694,0,0001
1972-05-01,286.56903,0,0001
1972-06-01,286.62497,0,0001
1972-07-01,286.80725,0,0001
1972-08-01,286.9113,0,0001
1972-09-01,286.77087,0,0001
1972-10-01,286.56833,0,0001
1972-11-01,286.49716,0,0001
1972-12-01,286.61716,0,0001
1973-01-01,286.77258,0,0001
1973-02-01,286.8815,0,0001
1973-03-01,286.8008,0,0001
1973-04-01,286.67426,0,0001
1973-05-01,286.55682,0,0001
1973-06-01,286.566,0,0001
1973-07-01,286.77505,0,0001
1973-08-01,286.8629,0,0001
1973-09-01,286.72858,0,0001
1973-10-01,286.46588,0,0001
1973-11-01,286.34344,0,0001
1973-12-01,286.3539,0,0001
1974-01-01,286.54462,0,0001
1974-02-01,286.6897,0,0001
1974-03-01,286.62436,0,0001
1974-04-01,286.56097,0,0001
1974-05-01,286.47952,0,0001
1974-06-01,286.44495,0,0001
1974-07-01,286.67105,0,0001
1974-08-01,286.8525,0,0001
1974-09-01,286.7463,0,0001
1974-10-01,286.45258,0,0001
1974-11-01,286.2793,0,0001
1974-12-01,286.38297,0,0001
1975-01-01,286.5646,0,0001
1975-02-01,286.70554,0,0001
1975-03-01,286.69025,0,0001
1975-04-01,286.57138,0,0001
1975-05-01,286.43643,0,0001
1975-06-01,286.42847,0,0001
1975-07-01,286.62216,0,0001
1975-08-01,286.7869,0,0001
1975-09-01,286.60242,0,0001
1975-10-01,286.32626,0,0001
1975-11-01,286.22314,0,0001
1975-12-01,286.2493,0,0001
1976-01-01,286.4302,0,0001
1976-02-01,286.5727,0,0001
1976-03-01,286.57062,0,0001
1976-04-01,286.5053,0,0001
1976-05-01,286.40445,0,0001
1976-06-01,286.50806,0,0001
1976-07-01,286.6928,0,0001
1976-08-01,286.8343,0,0001
1976-09-01,286.6924,0,0001
1976-10-01,286.47656,0,0001
1976-11-01,286.3475,0,0001
1976-12-01,286.4481,0,0001
1977-01-01,286.66858,0,0001
1977-02-01,286.77728,0,0001
1977-03-01,286.73572,0,0001
1977-04-01,286.67435,0,0001
1977-05-01,286.57812,0,0001
1977-06-01,286.6031,0,0001
1977-07-01,286.7778,0,0001
1977-08-01,286.89322,0,0001
1977-09-01,286.80844,0,0001
1977-10-01,286.55884,0,0001
1977-11-01,286.42618,0,0001
1977-12-01,286.4815,0,0001
1978-01-01,286.69254,0,0001
1978-02-01,286.761,0,0001
1978-03-01,286.7109,0,0001
1978-04-01,286.62836,0,0001
1978-05-01,286.54337,0,0001
1978-06-01,286.58545,0,0001
1978-07-01,286.77075,0,0001
1978-08-01,286.8698,0,0001
1978-09-01,286.74664,0,0001
1978-10-01,286.44263,0,0001
1978-11-01,286.4111,0,0001
1978-12-01,286.5122,0,0001
1979-01-01,286.7553,0,0001
1979-02-01,286.85953,0,0001
1979-03-01,286.83844,0,0001
1979-04-01,286.75107,0,0001
1979-05-01,286.62558,0,0001
1979-06-01,286.68747,0,0001
1979-07-01,286.8179,0,0001
1979-08-01,286.95193,0,0001
1979-09-01,286.8967,0,0001
1979-10-01,286.62085,0,0001
1979-11-01,286.541,0,0001
1979-12-01,286.62875,0,0001
1980-01-01,286.85373,0,0001
1980-02-01,286.96243,0,0001
1980-03-01,286.94318,0,0001
1980-04-01,286.82883,0,0001
1980-05-01,286.71347,0,0001
1980-06-01,286.72903,0,0001
1980-07-01,286.83258,0,0001
1980-08-01,286.92346,0,0001
1980-09-01,286.79324,0,0001
1980-10-01,286.5315,0,0001
1980-11-01,286.41653,0,0001
1980-12-01,286.50366,0,0001
1981-01-01,286.67407,0,0001
1981-02-01,286.79123,0,0001
1981-03-01,286.8139,0,0001
1981-04-01,286.76324,0,0001
1981-05-01,286.73294,0,0001
1981-06-01,286.7167,0,0001
1981-07-01,286.83014,0,0001
1981-08-01,286.9059,0,0001
1981-09-01,286.86813,0,0001
1981-10-01,286.64056,0,0001
1981-11-01,286.45395,0,0001
1981-12-01,286.47174,0,0001
1982-01-01,286.71277,0,0001
1982-02-01,286.8318,0,0001
1982-03-01,286.84937,0,0001
1982-04-01,286.77585,0,0001
1982-05-01,286.68848,0,0001
1982-06-01,286.6448,0,0001
1982-07-01,286.7543,0,0001
1982-08-01,286.8783,0,0001
1982-09-01,286.79147,0,0001
1982-10-01,286.59546,0,0001
1982-11-01,286.50354,0,0001
1982-12-01,286.6224,0,0001
1983-01-01,286.8769,0,0001
1983-02-01,287.0386,0,0001
1983-03-01,287.01266,0,0001
1983-04-01,286.88416,0,0001
1983-05-01,286.7318,0,0001
1983-06-01,286.73587,0,0001
1983-07-01,286.80112,0,0001
1983-08-01,286.9242,0,0001
1983-09-01,286.86026,0,0001
1983-10-01,286.57465,0,0001
1983-11-01,286.46094,0,0001
1983-12-01,286.5617,0,0001
1984-01-01,286.77518,0,0001
1984-02-01,286.882,0,0001
1984-03-01,286.81168,0,0001
1984-04-01,286.7345,0,0001
1984-05-01,286.61246,0,0001
1984-06-01,286.59686,0,0001
1984-07-01,286.75775,0,0001
1984-08-01,286.93097,0,0001
1984-09-01,286.87927,0,0001
1984-10-01,286.47446,0,0001
1984-11-01,286.3619,0,0001
1984-12-01,286.56833,0,0001
1985-01-01,286.65805,0,0001
1985-02-01,286.81268,0,0001
1985-03-01,286.73785,0,0001
1985-04-01,286.70612,0,0001
1985-05-01,286.57407,0,0001
1985-06-01,286.57425,0,0001
1985-07-01,286.75018,0,0001
1985-08-01,286.9306,0,0001
1985-09-01,286.79834,0,0001
1985-10-01,286.47342,0,0001
1985-11-01,286.3532,0,0001
1985-12-01,286.38773,0,0001
1986-01-01,286.57376,0,0001
1986-02-01,286.75262,0,0001
1986-03-01,286.7954,0,0001
1986-04-01,286.7149,0,0001
1986-05-01,286.63565,0,0001
1986-06-01,286.6011,0,0001
1986-07-01,286.7525,0,0001
1986-08-01,286.88004,0,0001
1986-09-01,286.81622,0,0001
1986-10-01,286.56567,0,0001
1986-11-01,286.44485,0,0001
1986-12-01,286.49265,0,0001
1987-01-01,286.67853,0,0001
1987-02-01,286.82727,0,0001
1987-03-01,286.90475,0,0001
1987-04-01,286.79306,0,0001
1987-05-01,286.71072,0,0001
1987-06-01,286.7087,0,0001
1987-07-01,286.87634,0,0001
1987-08-01,287.0732,0,0001
1987-09-01,286.98108,0,0001
1987-10-01,286.69098,0,0001
1987-11-01,286.59604,0,0001
1987-12-01,286.60144,0,0001
1988-01-01,286.77917,0,0001
1988-02-01,286.90915,0,0001
1988-03-01,286.88058,0,0001
1988-04-01,286.7936,0,0001
1988-05-01,286.6869,0,0001
1988-06-01,286.68335,0,0001
1988-07-01,286.84198,0,0001
1988-08-01,287.03857,0,0001
1988-09-01,286.85614,0,0001
1988-10-01,286.55112,0,0001
1988-11-01,286.3037,0,0001
1988-12-01,286.40356,0,0001
1989-01-01,286.61136,0,0001
1989-02-01,286.80658,0,0001
1989-03-01,286.82886,0,0001
