valid_time,fal,number,expver
1958-10-01,0.28956032,0,0001
1958-11-01,0.29928678,0,0001
1958-12-01,0.29465985,0,0001
1959-01-01,0.29282615,0,0001
1959-02-01,0.29411748,0,0001
1959-03-01,0.2900053,0,0001
1959-04-01,0.2942224,0,0001
1959-05-01,0.28431317,0,0001
1959-06-01,0.2614992,0,0001
1959-07-01,0.24809124,0,0001
1959-08-01,0.24836418,0,0001
1959-09-01,0.26624238,0,0001
1959-10-01,0.28997752,0,0001
1959-11-01,0.30182296,0,0001
1959-12-01,0.29705715,0,0001
1960-01-01,0.29322433,0,0001
1960-02-01,0.291097,0,0001
1960-03-01,0.29110897,0,0001
1960-04-01,0.2930693,0,0001
1960-05-01,0.2814659,0,0001
1960-06-01,0.25785723,0,0001
1960-07-01,0.24694994,0,0001
1960-08-01,0.24716055,0,0001
1960-09-01,0.26675808,0,0001
1960-10-01,0.29108346,0,0001
1960-11-01,0.30037498,0,0001
1960-12-01,0.2954691,0,0001
1961-01-01,0.29027528,0,0001
1961-02-01,0.28986564,0,0001
1961-03-01,0.2874019,0,0001
1961-04-01,0.29282555,0,0001
1961-05-01,0.28388014,0,0001
1961-06-01,0.2612598,0,0001
1961-07-01,0.2472647,0,0001
1961-08-01,0.24791631,0,0001
1961-09-01,0.26833695,0,0001
1961-10-01,0.2917236,0,0001
1961-11-01,0.30136544,0,0001
1961-12-01,0.2971097,0,0001
1962-01-01,0.29220754,0,0001
1962-02-01,0.29080003,0,0001
1962-03-01,0.29050463,0,0001
1962-04-01,0.29278877,0,0001
1962-05-01,0.2840066,0,0001
1962-06-01,0.26249674,0,0001
1962-07-01,0.24693106,0,0001
1962-08-01,0.24725795,0,0001
1962-09-01,0.26766825,0,0001
1962-10-01,0.28998843,0,0001
1962-11-01,0.29934794,0,0001
1962-12-01,0.29589257,0,0001
1963-01-01,0.29315943,0,0001
1963-02-01,0.29162893,0,0001
1963-03-01,0.29017356,0,0001
1963-04-01,0.2938977,0,0001
1963-05-01,0.28343877,0,0001
1963-06-01,0.2621997,0,0001
1963-07-01,0.24805632,0,0001
1963-08-01,0.24757086,0,0001
1963-09-01,0.26814428,0,0001
1963-10-01,0.28766158,0,0001
1963-11-01,0.29904094,0,0001
1963-12-01,0.29866606,0,0001
1964-01-01,0.29337218,0,0001
1964-02-01,0.29346088,0,0001
1964-03-01,0.29115593,0,0001
1964-04-01,0.29314905,0,0001
1964-05-01,0.2840534,0,0001
1964-06-01,0.2627051,0,0001
1964-07-01,0.24843763,0,0001
1964-08-01,0.24835666,0,0001
1964-09-01,0.26795706,0,0001
1964-10-01,0.288199,0,0001
1964-11-01,0.29879886,0,0001
1964-12-01,0.2964254,0,0001
1965-01-01,0.29225668,0,0001
1965-02-01,0.29219922,0,0001
1965-03-01,0.29050797,0,0001
1965-04-01,0.29327002,0,0001
1965-05-01,0.28420368,0,0001
1965-06-01,0.2635738,0,0001
1965-07-01,0.24897379,0,0001
1965-08-01,0.24880426,0,0001
1965-09-01,0.2686894,0,0001
1965-10-01,0.29017493,0,0001
1965-11-01,0.30244777,0,0001
1965-12-01,0.29652008,0,0001
1966-01-01,0.2921994,0,0001
1966-02-01,0.2907597,0,0001
1966-03-01,0.28994828,0,0001
1966-04-01,0.29355776,0,0001
1966-05-01,0.28416848,0,0001
1966-06-01,0.26222223,0,0001
1966-07-01,0.24913429,0,0001
1966-08-01,0.24892125,0,0001
1966-09-01,0.26668307,0,0001
1966-10-01,0.28991514,0,0001
1966-11-01,0.30208525,0,0001
1966-12-01,0.29791453,0,0001
1967-01-01,0.29370025,0,0001
1967-02-01,0.29235873,0,0001
1967-03-01,0.29121867,0,0001
1967-04-01,0.2919506,0,0001
1967-05-01,0.28325516,0,0001
1967-06-01,0.26283497,0,0001
1967-07-01,0.24864595,0,0001
1967-08-01,0.24990523,0,0001
1967-09-01,0.2700468,0,0001
1967-10-01,0.28717342,0,0001
1967-11-01,0.30056718,0,0001
1967-12-01,0.3012395,0,0001
1968-01-01,0.29626623,0,0001
1968-02-01,0.29352093,0,0001
1968-03-01,0.291822,0,0001
1968-04-01,0.29221672,0,0001
1968-05-01,0.2842052,0,0001
1968-06-01,0.26350564,0,0001
1968-07-01,0.24797016,0,0001
1968-08-01,0.24683331,0,0001
1968-09-01,0.2653476,0,0001
1968-10-01,0.28978983,0,0001
1968-11-01,0.30244496,0,0001
1968-12-01,0.29913867,0,0001
1969-01-01,0.29571176,0,0001
1969-02-01,0.29495478,0,0001
1969-03-01,0.29472977,0,0001
1969-04-01,0.29304826,0,0001
1969-05-01,0.28561994,0,0001
1969-06-01,0.2640742,0,0001
1969-07-01,0.24947682,0,0001
1969-08-01,0.24996118,0,0001
1969-09-01,0.2680733,0,0001
1969-10-01,0.28609842,0,0001
1969-11-01,0.29877272,0,0001
1969-12-01,0.2966775,0,0001
1970-01-01,0.2941917,0,0001
1970-02-01,0.29091185,0,0001
1970-03-01,0.2927253,0,0001
1970-04-01,0.29177737,0,0001
1970-05-01,0.28402242,0,0001
1970-06-01,0.2632159,0,0001
1970-07-01,0.24880125,0,0001
1970-08-01,0.24874164,0,0001
1970-09-01,0.26614153,0,0001
1970-10-01,0.29108322,0,0001
1970-11-01,0.30071864,0,0001
1970-12-01,0.2994163,0,0001
1971-01-01,0.29387853,0,0001
1971-02-01,0.2924916,0,0001
1971-03-01,0.29408607,0,0001
1971-04-01,0.29147932,0,0001
1971-05-01,0.2845932,0,0001
1971-06-01,0.26310602,0,0001
1971-07-01,0.24803488,0,0001
1971-08-01,0.24728605,0,0001
1971-09-01,0.26377267,0,0001
1971-10-01,0.28784633,0,0001
1971-11-01,0.30088064,0,0001
1971-12-01,0.29861075,0,0001
1972-01-01,0.2953196,0,0001
1972-02-01,0.29545784,0,0001
1972-03-01,0.29305094,0,0001
1972-04-01,0.29190615,0,0001
1972-05-01,0.285654,0,0001
1972-06-01,0.26500452,0,0001
1972-07-01,0.24881975,0,0001
1972-08-01,0.24859387,0,0001
1972-09-01,0.26711014,0,0001
1972-10-01,0.28932485,0,0001
1972-11-01,0.3019681,0,0001
1972-12-01,0.29727903,0,0001
1973-01-01,0.29599681,0,0001
1973-02-01,0.29448417,0,0001
1973-03-01,0.29773992,0,0001
1973-04-01,0.29467124,0,0001
1973-05-01,0.28539252,0,0001
1973-06-01,0.2636625,0,0001
1973-07-01,0.25038496,0,0001
1973-08-01,0.24919567,0,0001
1973-09-01,0.26550633,0,0001
1973-10-01,0.29221457,0,0001
1973-11-01,0.30463684,0,0001
1973-12-01,0.2978566,0,0001
1974-01-01,0.29018906,0,0001
1974-02-01,0.2882887,0,0001
1974-03-01,0.2916195,0,0001
1974-04-01,0.29088676,0,0001
1974-05-01,0.28713256,0,0001
1974-06-01,0.2670201,0,0001
1974-07-01,0.25134876,0,0001
1974-08-01,0.2507077,0,0001
1974-09-01,0.26843682,0,0001
1974-10-01,0.2914582,0,0001
1974-11-01,0.29910147,0,0001
1974-12-01,0.29592294,0,0001
1975-01-01,0.29074228,0,0001
1975-02-01,0.29164958,0,0001
1975-03-01,0.29182753,0,0001
1975-04-01,0.29182443,0,0001
1975-05-01,0.28486276,0,0001
1975-06-01,0.26312807,0,0001
1975-07-01,0.24991147,0,0001
1975-08-01,0.24937639,0,0001
1975-09-01,0.26588392,0,0001
1975-10-01,0.28575623,0,0001
1975-11-01,0.29752263,0,0001
1975-12-01,0.29739687,0,0001
1976-01-01,0.29236484,0,0001
1976-02-01,0.29167047,0,0001
1976-03-01,0.29471686,0,0001
1976-04-01,0.2918988,0,0001
1976-05-01,0.28503844,0,0001
1976-06-01,0.26281062,0,0001
1976-07-01,0.24827047,0,0001
1976-08-01,0.24853052,0,0001
1976-09-01,0.26417243,0,0001
1976-10-01,0.28859985,0,0001
1976-11-01,0.2995566,0,0001
1976-12-01,0.29474717,0,0001
1977-01-01,0.29453877,0,0001
1977-02-01,0.29030594,0,0001
1977-03-01,0.2931667,0,0001
1977-04-01,0.2910911,0,0001
1977-05-01,0.28234127,0,0001
1977-06-01,0.26063812,0,0001
1977-07-01,0.24528952,0,0001
1977-08-01,0.24497095,0,0001
1977-09-01,0.2616396,0,0001
1977-10-01,0.28715846,0,0001
1977-11-01,0.29802853,0,0001
1977-12-01,0.2971476,0,0001
1978-01-01,0.29477108,0,0001
1978-02-01,0.29408285,0,0001
1978-03-01,0.2929744,0,0001
1978-04-01,0.29035148,0,0001
1978-05-01,0.2837377,0,0001
1978-06-01,0.26231954,0,0001
1978-07-01,0.24747834,0,0001
1978-08-01,0.2472048,0,0001
1978-09-01,0.26236692,0,0001
1978-10-01,0.28615904,0,0001
1978-11-01,0.29889694,0,0001
1978-12-01,0.29783994,0,0001
1979-01-01,0.29365325,0,0001
1979-02-01,0.2916976,0,0001
1979-03-01,0.29071736,0,0001
1979-04-01,0.29180124,0,0001
1979-05-01,0.28303087,0,0001
1979-06-01,0.26202694,0,0001
1979-07-01,0.24297512,0,0001
1979-08-01,0.24280791,0,0001
1979-09-01,0.2587017,0,0001
1979-10-01,0.2814914,0,0001
1979-11-01,0.29587495,0,0001
1979-12-01,0.2892029,0,0001
1980-01-01,0.28963766,0,0001
1980-02-01,0.28874815,0,0001
1980-03-01,0.28926283,0,0001
1980-04-01,0.28391248,0,0001
1980-05-01,0.27584267,0,0001
1980-06-01,0.25399908,0,0001
1980-07-01,0.23947987,0,0001
1980-08-01,0.24219327,0,0001
1980-09-01,0.26241642,0,0001
1980-10-01,0.28423154,0,0001
1980-11-01,0.29841664,0,0001
1980-12-01,0.29244664,0,0001
1981-01-01,0.2874947,0,0001
1981-02-01,0.28655264,0,0001
1981-03-01,0.2861843,0,0001
1981-04-01,0.2852703,0,0001
1981-05-01,0.27747384,0,0001
1981-06-01,0.25455824,0,0001
1981-07-01,0.24037781,0,0001
1981-08-01,0.24138385,0,0001
1981-09-01,0.25989994,0,0001
1981-10-01,0.28217328,0,0001
1981-11-01,0.29589638,0,0001
1981-12-01,0.29403633,0,0001
1982-01-01,0.29096866,0,0001
1982-02-01,0.29034802,0,0001
1982-03-01,0.2909329,0,0001
1982-04-01,0.29090175,0,0001
1982-05-01,0.28114137,0,0001
1982-06-01,0.25922838,0,0001
1982-07-01,0.24245371,0,0001
1982-08-01,0.24340379,0,0001
1982-09-01,0.25784692,0,0001
1982-10-01,0.28281,0,0001
1982-11-01,0.29576117,0,0001
1982-12-01,0.2909923,0,0001
1983-01-01,0.28740552,0,0001
1983-02-01,0.2863792,0,0001
1983-03-01,0.28695524,0,0001
1983-04-01,0.28491166,0,0001
1983-05-01,0.27855256,0,0001
1983-06-01,0.25559074,0,0001
1983-07-01,0.24050695,0,0001
1983-08-01,0.24172579,0,0001
1983-09-01,0.25806665,0,0001
1983-10-01,0.28122064,0,0001
1983-11-01,0.2955096,0,0001
1983-12-01,0.29266912,0,0001
1984-01-01,0.28769162,0,0001
1984-02-01,0.28511623,0,0001
1984-03-01,0.28663832,0,0001
1984-04-01,0.284718,0,0001
1984-05-01,0.27559334,0,0001
1984-06-01,0.25510204,0,0001
1984-07-01,0.241412,0,0001
1984-08-01,0.24181272,0,0001
1984-09-01,0.25733018,0,0001
1984-10-01,0.27848274,0,0001
1984-11-01,0.29307914,0,0001
1984-12-01,0.2901929,0,0001
1985-01-01,0.28739503,0,0001
1985-02-01,0.28832573,0,0001
1985-03-01,0.2892351,0,0001
1985-04-01,0.2861802,0,0001
1985-05-01,0.2802398,0,0001
1985-06-01,0.25464922,0,0001
1985-07-01,0.23863482,0,0001
1985-08-01,0.24093737,0,0001
1985-09-01,0.2576484,0,0001
1985-10-01,0.28034547,0,0001
1985-11-01,0.2985965,0,0001
1985-12-01,0.2953833,0,0001
1986-01-01,0.2887421,0,0001
1986-02-01,0.28958482,0,0001
1986-03-01,0.2886054,0,0001
1986-04-01,0.28551307,0,0001
1986-05-01,0.28010356,0,0001
1986-06-01,0.25755286,0,0001
1986-07-01,0.24120891,0,0001
1986-08-01,0.24382953,0,0001
1986-09-01,0.2653721,0,0001
1986-10-01,0.28522512,0,0001
1986-11-01,0.29483205,0,0001
1986-12-01,0.29149628,0,0001
1987-01-01,0.28826708,0,0001
1987-02-01,0.2881018,0,0001
1987-03-01,0.29122946,0,0001
1987-04-01,0.28791553,0,0001
1987-05-01,0.27956048,0,0001
1987-06-01,0.25815827,0,0001
1987-07-01,0.24126631,0,0001
1987-08-01,0.24262106,0,0001
1987-09-01,0.26252475,0,0001
1987-10-01,0.2835009,0,0001
1987-11-01,0.29581192,0,0001
1987-12-01,0.2937437,0,0001
1988-01-01,0.2893637,0,0001
1988-02-01,0.28801063,0,0001
1988-03-01,0.2907759,0,0001
1988-04-01,0.28729984,0,0001
1988-05-01,0.2778766,0,0001
1988-06-01,0.25509667,0,0001
1988-07-01,0.24152176,0,0001
1988-08-01,0.24300186,0,0001
1988-09-01,0.2603442,0,0001
1988-10-01,0.28343597,0,0001
1988-11-01,0.2999342,0,0001
1988-12-01,0.2955333,0,0001
1989-01-01,0.29031372,0,0001
1989-02-01,0.28925613,0,0001
1989-03-01,0.2888741,0,0001
1989-04-01,0.28618664,0,0001
1989-05-01,0.27885437,0,0001
1989-06-01,0.25770578,0,0001
1989-07-01,0.2416722,0,0001
1989-08-01,0.24252784,0,0001
1989-09-01,0.2594314,0,0001
1989-10-01,0.2826846,0,0001
1989-11-01,0.29625994,0,0001
1989-12-01,0.2929658,0,0001
1990-01-01,0.28616977,0,0001
1990-02-01,0.28445637,0,0001
1990-03-01,0.2866632,0,0001
1990-04-01,0.2851583,0,0001
1990-05-01,0.27428406,0,0001
1990-06-01,0.253312,0,0001
1990-07-01,0.2396731,0,0001
1990-08-01,0.24019766,0,0001
1990-09-01,0.25640234,0,0001
1990-10-01,0.28031677,0,0001
1990-11-01,0.29355955,0,0001
1990-12-01,0.29136828,0,0001
1991-01-01,0.2873562,0,0001
1991-02-01,0.28677866,0,0001
1991-03-01,0.28882855,0,0001
1991-04-01,0.2876714,0,0001
1991-05-01,0.2787491,0,0001
1991-06-01,0.25532162,0,0001
1991-07-01,0.24006844,0,0001
1991-08-01,0.2413067,0,0001
1991-09-01,0.25478363,0,0001
1991-10-01,0.28087458,0,0001
1991-11-01,0.29376146,0,0001
1991-12-01,0.2905331,0,0001
1992-01-01,0.28741357,0,0001
1992-02-01,0.28587186,0,0001
