valid_time,avg_sdswrf,number,expver
1974-02-01 06:00:00,167.99182,0,0001
1974-03-01 06:00:00,154.50986,0,0001
1974-04-01 06:00:00,158.7426,0,0001
1974-05-01 06:00:00,165.53091,0,0001
1974-06-01 06:00:00,165.54433,0,0001
1974-07-01 06:00:00,154.57532,0,0001
1974-08-01 06:00:00,148.40816,0,0001
1974-09-01 06:00:00,147.17271,0,0001
1974-10-01 06:00:00,161.62582,0,0001
1974-11-01 06:00:00,182.29599,0,0001
1974-12-01 06:00:00,190.505,0,0001
1975-01-01 06:00:00,185.15971,0,0001
1975-02-01 06:00:00,167.91313,0,0001
1975-03-01 06:00:00,154.46805,0,0001
1975-04-01 06:00:00,156.97781,0,0001
1975-05-01 06:00:00,165.05054,0,0001
1975-06-01 06:00:00,162.55759,0,0001
1975-07-01 06:00:00,155.13237,0,0001
1975-08-01 06:00:00,147.64096,0,0001
1975-09-01 06:00:00,146.96843,0,0001
1975-10-01 06:00:00,159.68463,0,0001
1975-11-01 06:00:00,181.50644,0,0001
1975-12-01 06:00:00,192.47324,0,0001
1976-01-01 06:00:00,185.96968,0,0001
1976-02-01 06:00:00,168.2342,0,0001
1976-03-01 06:00:00,154.85443,0,0001
1976-04-01 06:00:00,159.03339,0,0001
1976-05-01 06:00:00,165.52466,0,0001
1976-06-01 06:00:00,164.95296,0,0001
1976-07-01 06:00:00,155.65431,0,0001
1976-08-01 06:00:00,148.73949,0,0001
1976-09-01 06:00:00,148.24388,0,0001
1976-10-01 06:00:00,162.03339,0,0001
1976-11-01 06:00:00,182.40044,0,0001
1976-12-01 06:00:00,193.30063,0,0001
1977-01-01 06:00:00,184.60175,0,0001
1977-02-01 06:00:00,168.87782,0,0001
1977-03-01 06:00:00,154.75803,0,0001
1977-04-01 06:00:00,159.42416,0,0001
1977-05-01 06:00:00,165.11449,0,0001
1977-06-01 06:00:00,164.59108,0,0001
1977-07-01 06:00:00,153.7543,0,0001
1977-08-01 06:00:00,146.83601,0,0001
1977-09-01 06:00:00,147.781,0,0001
1977-10-01 06:00:00,161.60526,0,0001
1977-11-01 06:00:00,181.18231,0,0001
1977-12-01 06:00:00,192.39972,0,0001
1978-01-01 06:00:00,185.75085,0,0001
1978-02-01 06:00:00,168.40314,0,0001
1978-03-01 06:00:00,155.61794,0,0001
1978-04-01 06:00:00,159.19202,0,0001
1978-05-01 06:00:00,164.95158,0,0001
1978-06-01 06:00:00,164.31444,0,0001
1978-07-01 06:00:00,153.4085,0,0001
1978-08-01 06:00:00,147.69086,0,0001
1978-09-01 06:00:00,147.02936,0,0001
1978-10-01 06:00:00,160.31825,0,0001
1978-11-01 06:00:00,182.32521,0,0001
1978-12-01 06:00:00,192.28528,0,0001
1979-01-01 06:00:00,184.37605,0,0001
1979-02-01 06:00:00,167.66151,0,0001
1979-03-01 06:00:00,154.917,0,0001
1979-04-01 06:00:00,159.17824,0,0001
1979-05-01 06:00:00,165.65294,0,0001
1979-06-01 06:00:00,163.77982,0,0001
1979-07-01 06:00:00,153.6184,0,0001
1979-08-01 06:00:00,146.92383,0,0001
1979-09-01 06:00:00,146.93243,0,0001
1979-10-01 06:00:00,159.7797,0,0001
1979-11-01 06:00:00,180.80829,0,0001
1979-12-01 06:00:00,190.80656,0,0001
1980-01-01 06:00:00,184.42929,0,0001
1980-02-01 06:00:00,167.47797,0,0001
1980-03-01 06:00:00,155.18965,0,0001
1980-04-01 06:00:00,158.9838,0,0001
1980-05-01 06:00:00,163.7224,0,0001
1980-06-01 06:00:00,163.7151,0,0001
1980-07-01 06:00:00,152.65102,0,0001
1980-08-01 06:00:00,147.65874,0,0001
1980-09-01 06:00:00,147.21646,0,0001
1980-10-01 06:00:00,160.45955,0,0001
1980-11-01 06:00:00,180.96559,0,0001
1980-12-01 06:00:00,192.36316,0,0001
1981-01-01 06:00:00,184.08263,0,0001
1981-02-01 06:00:00,165.96504,0,0001
1981-03-01 06:00:00,154.99947,0,0001
1981-04-01 06:00:00,158.01955,0,0001
1981-05-01 06:00:00,164.82768,0,0001
1981-06-01 06:00:00,162.26607,0,0001
1981-07-01 06:00:00,153.01816,0,0001
1981-08-01 06:00:00,147.40512,0,0001
1981-09-01 06:00:00,147.14984,0,0001
1981-10-01 06:00:00,160.63326,0,0001
1981-11-01 06:00:00,180.38216,0,0001
1981-12-01 06:00:00,190.2635,0,0001
1982-01-01 06:00:00,184.37138,0,0001
1982-02-01 06:00:00,167.7231,0,0001
1982-03-01 06:00:00,154.0968,0,0001
1982-04-01 06:00:00,157.8231,0,0001
1982-05-01 06:00:00,164.05241,0,0001
1982-06-01 06:00:00,161.7586,0,0001
1982-07-01 06:00:00,154.57167,0,0001
1982-08-01 06:00:00,145.97066,0,0001
1982-09-01 06:00:00,145.39017,0,0001
1982-10-01 06:00:00,157.93607,0,0001
1982-11-01 06:00:00,178.73512,0,0001
1982-12-01 06:00:00,189.24376,0,0001
1983-01-01 06:00:00,182.75327,0,0001
1983-02-01 06:00:00,166.97469,0,0001
1983-03-01 06:00:00,153.09042,0,0001
1983-04-01 06:00:00,156.23482,0,0001
1983-05-01 06:00:00,163.01193,0,0001
1983-06-01 06:00:00,163.3313,0,0001
1983-07-01 06:00:00,151.561,0,0001
1983-08-01 06:00:00,145.16734,0,0001
1983-09-01 06:00:00,145.47253,0,0001
1983-10-01 06:00:00,159.20845,0,0001
1983-11-01 06:00:00,179.54153,0,0001
1983-12-01 06:00:00,192.02882,0,0001
1984-01-01 06:00:00,184.76006,0,0001
1984-02-01 06:00:00,167.16023,0,0001
1984-03-01 06:00:00,154.06049,0,0001
1984-04-01 06:00:00,158.74586,0,0001
1984-05-01 06:00:00,164.6158,0,0001
1984-06-01 06:00:00,162.34114,0,0001
1984-07-01 06:00:00,153.22072,0,0001
1984-08-01 06:00:00,146.97684,0,0001
1984-09-01 06:00:00,146.83272,0,0001
1984-10-01 06:00:00,159.36688,0,0001
1984-11-01 06:00:00,180.91708,0,0001
1984-12-01 06:00:00,189.6,0,0001
1985-01-01 06:00:00,185.22563,0,0001
1985-02-01 06:00:00,167.18103,0,0001
1985-03-01 06:00:00,154.36963,0,0001
1985-04-01 06:00:00,158.21881,0,0001
1985-05-01 06:00:00,165.12238,0,0001
1985-06-01 06:00:00,163.26825,0,0001
1985-07-01 06:00:00,153.44748,0,0001
1985-08-01 06:00:00,147.65373,0,0001
1985-09-01 06:00:00,146.36688,0,0001
1985-10-01 06:00:00,159.93752,0,0001
1985-11-01 06:00:00,179.49771,0,0001
1985-12-01 06:00:00,191.14923,0,0001
1986-01-01 06:00:00,183.94579,0,0001
1986-02-01 06:00:00,168.2564,0,0001
1986-03-01 06:00:00,154.85397,0,0001
1986-04-01 06:00:00,158.07724,0,0001
1986-05-01 06:00:00,164.42816,0,0001
1986-06-01 06:00:00,163.15965,0,0001
1986-07-01 06:00:00,153.25511,0,0001
1986-08-01 06:00:00,147.36115,0,0001
1986-09-01 06:00:00,147.08524,0,0001
1986-10-01 06:00:00,160.18063,0,0001
1986-11-01 06:00:00,179.13333,0,0001
1986-12-01 06:00:00,190.68512,0,0001
1987-01-01 06:00:00,185.46332,0,0001
1987-02-01 06:00:00,166.81444,0,0001
1987-03-01 06:00:00,155.35027,0,0001
1987-04-01 06:00:00,158.64395,0,0001
1987-05-01 06:00:00,165.11934,0,0001
1987-06-01 06:00:00,162.26941,0,0001
1987-07-01 06:00:00,153.20987,0,0001
1987-08-01 06:00:00,146.90933,0,0001
1987-09-01 06:00:00,147.6198,0,0001
1987-10-01 06:00:00,160.401,0,0001
1987-11-01 06:00:00,181.40974,0,0001
1987-12-01 06:00:00,190.63086,0,0001
1988-01-01 06:00:00,184.22241,0,0001
1988-02-01 06:00:00,167.89017,0,0001
1988-03-01 06:00:00,155.01506,0,0001
1988-04-01 06:00:00,158.83408,0,0001
1988-05-01 06:00:00,164.13756,0,0001
1988-06-01 06:00:00,162.12737,0,0001
1988-07-01 06:00:00,153.79604,0,0001
1988-08-01 06:00:00,146.68797,0,0001
1988-09-01 06:00:00,146.16148,0,0001
1988-10-01 06:00:00,161.17805,0,0001
1988-11-01 06:00:00,180.85129,0,0001
1988-12-01 06:00:00,189.92775,0,0001
1989-01-01 06:00:00,184.92581,0,0001
1989-02-01 06:00:00,167.53387,0,0001
1989-03-01 06:00:00,155.46574,0,0001
1989-04-01 06:00:00,158.98918,0,0001
1989-05-01 06:00:00,164.24992,0,0001
1989-06-01 06:00:00,164.09021,0,0001
1989-07-01 06:00:00,154.02296,0,0001
1989-08-01 06:00:00,147.28246,0,0001
1989-09-01 06:00:00,147.46452,0,0001
1989-10-01 06:00:00,160.1735,0,0001
1989-11-01 06:00:00,180.29077,0,0001
1989-12-01 06:00:00,191.09503,0,0001
1990-01-01 06:00:00,181.82675,0,0001
1990-02-01 06:00:00,167.82756,0,0001
1990-03-01 06:00:00,154.37323,0,0001
1990-04-01 06:00:00,157.12796,0,0001
1990-05-01 06:00:00,163.74124,0,0001
1990-06-01 06:00:00,162.71527,0,0001
1990-07-01 06:00:00,154.35838,0,0001
1990-08-01 06:00:00,147.64838,0,0001
1990-09-01 06:00:00,147.24286,0,0001
1990-10-01 06:00:00,161.05936,0,0001
1990-11-01 06:00:00,180.19475,0,0001
1990-12-01 06:00:00,191.27003,0,0001
1991-01-01 06:00:00,184.84572,0,0001
1991-02-01 06:00:00,168.02463,0,0001
1991-03-01 06:00:00,154.4754,0,0001
1991-04-01 06:00:00,159.83446,0,0001
1991-05-01 06:00:00,164.43437,0,0001
1991-06-01 06:00:00,162.07169,0,0001
1991-07-01 06:00:00,154.43477,0,0001
1991-08-01 06:00:00,146.02776,0,0001
1991-09-01 06:00:00,145.78087,0,0001
1991-10-01 06:00:00,158.21063,0,0001
1991-11-01 06:00:00,178.84846,0,0001
1991-12-01 06:00:00,188.25642,0,0001
1992-01-01 06:00:00,180.73787,0,0001
1992-02-01 06:00:00,165.11801,0,0001
1992-03-01 06:00:00,152.39978,0,0001
1992-04-01 06:00:00,156.40988,0,0001
1992-05-01 06:00:00,163.68414,0,0001
1992-06-01 06:00:00,162.00041,0,0001
1992-07-01 06:00:00,152.13275,0,0001
1992-08-01 06:00:00,146.26263,0,0001
1992-09-01 06:00:00,145.34291,0,0001
1992-10-01 06:00:00,158.65468,0,0001
1992-11-01 06:00:00,178.31334,0,0001
1992-12-01 06:00:00,188.94467,0,0001
1993-01-01 06:00:00,183.33212,0,0001
1993-02-01 06:00:00,166.22986,0,0001
1993-03-01 06:00:00,155.342,0,0001
1993-04-01 06:00:00,158.54562,0,0001
1993-05-01 06:00:00,163.3354,0,0001
1993-06-01 06:00:00,161.62874,0,0001
1993-07-01 06:00:00,151.51637,0,0001
1993-08-01 06:00:00,146.59505,0,0001
1993-09-01 06:00:00,146.74808,0,0001
1993-10-01 06:00:00,159.6441,0,0001
1993-11-01 06:00:00,179.95067,0,0001
1993-12-01 06:00:00,190.1389,0,0001
1994-01-01 06:00:00,185.2091,0,0001
1994-02-01 06:00:00,167.25922,0,0001
1994-03-01 06:00:00,155.19974,0,0001
1994-04-01 06:00:00,159.33559,0,0001
1994-05-01 06:00:00,164.92207,0,0001
1994-06-01 06:00:00,163.1527,0,0001
1994-07-01 06:00:00,153.78014,0,0001
1994-08-01 06:00:00,147.46266,0,0001
1994-09-01 06:00:00,147.28827,0,0001
1994-10-01 06:00:00,160.85052,0,0001
1994-11-01 06:00:00,180.28851,0,0001
1994-12-01 06:00:00,191.53519,0,0001
1995-01-01 06:00:00,185.6753,0,0001
1995-02-01 06:00:00,167.64117,0,0001
1995-03-01 06:00:00,154.87833,0,0001
1995-04-01 06:00:00,157.30452,0,0001
1995-05-01 06:00:00,163.40755,0,0001
1995-06-01 06:00:00,163.34663,0,0001
1995-07-01 06:00:00,152.56166,0,0001
1995-08-01 06:00:00,147.60034,0,0001
1995-09-01 06:00:00,146.42126,0,0001
